date,nice_date,day,time,text,is_retweet,id
2015-06-16 13:57:00,"June 16, 2015 01:57 PM",Tuesday,1357,I am officially running for President of the United States. #MakeAmericaGreatAgain ,FALSE,0
2015-06-16 15:23:00,"June 16, 2015 03:23 PM",Tuesday,1523,#MakeAmericaGreatAgain ,FALSE,1
2015-06-16 15:59:00,"June 16, 2015 03:59 PM",Tuesday,1559,Thanks Eric. ,FALSE,2
2015-06-16 17:15:00,"June 16, 2015 05:15 PM",Tuesday,1715,Today I officially declared my candidacy for President of the United States. Watch the video of my full speech- ,FALSE,3
2015-06-16 22:22:00,"June 16, 2015 10:22 PM",Tuesday,2222,Dear @  kimguilfoyle Thank you so much for your nice words today on @  TheFive. Will not be forgotten! In Iowa now. Packed house!,FALSE,4
2015-06-16 22:28:00,"June 16, 2015 10:28 PM",Tuesday,2228,@ericbolling watched you on my flight to Iowa. Will not be forgotten.,FALSE,5
2015-06-16 23:13:00,"June 16, 2015 11:13 PM",Tuesday,2313,Thanks @  greggutfeld. Really nice! Im glad I did your show. @  GregGutfeldShow,FALSE,6
2015-06-16 23:55:00,"June 16, 2015 11:55 PM",Tuesday,2355,@ericbolling in additionno doubt you would have been amazing on @  ApprenticeNBC! Keep up the great work.,FALSE,7
2015-06-17 01:37:00,"June 17, 2015 01:37 AM",Wednesday,0137,Enjoyed watching @  MonicaCrowley's analysis of my @  BillOreilly interview. Great points! Thank you Monica.,FALSE,8
2015-06-17 11:51:00,"June 17, 2015 11:51 AM",Wednesday,1151,@Gabigayle @  FoxNews @  realDonaldTrump He doesnt need anyone's money and can speak the truth because of it!  Go Donald!,FALSE,9
2015-06-17 12:53:00,"June 17, 2015 12:53 PM",Wednesday,1253,Thank you Sarah--Let's have pizza in New York soon with you and; your great family ,FALSE,10
2015-06-17 13:54:00,"June 17, 2015 01:54 PM",Wednesday,1354,Only a fool would buy the @  NYDailyNews. Loses fortune and; has zero gravitas. Let it die!,FALSE,11
2015-06-17 14:05:00,"June 17, 2015 02:05 PM",Wednesday,1405,We need someone with experience to rebuild America. #MakeAmericaGreatAgain ,FALSE,12
2015-06-17 15:43:00,"June 17, 2015 03:43 PM",Wednesday,1543,Heading to New Hampshire. #MakeAmericaGreatAgain ,FALSE,13
