x_offset,y_offset
-0.99756405,-0.069756474
-0.978147601,-0.207911691
-0.939692621,-0.342020143
-0.882947593,-0.469471563
-0.809016994,-0.587785252
-0.7193398,-0.69465837
-0.615661475,-0.788010754
-0.5,-0.866025404
-0.374606593,-0.927183855
-0.241921896,-0.970295726
-0.104528463,-0.994521895
0.034899497,-0.999390827
0.173648178,-0.984807753
0.309016994,-0.951056516
0.438371147,-0.898794046
0.559192903,-0.829037573
0.669130606,-0.743144825
0.766044443,-0.64278761
0.848048096,-0.529919264
0.913545458,-0.406736643
0.961261696,-0.275637356
0.990268069,-0.139173101
1,0
0.990268069,0.139173101
0.961261696,0.275637356
0.913545458,0.406736643
0.848048096,0.529919264
0.766044443,0.64278761
0.669130606,0.743144825
0.559192903,0.829037573
0.438371147,0.898794046
0.309016994,0.951056516
0.173648178,0.984807753
0.034899497,0.999390827
-0.104528463,0.994521895
-0.241921896,0.970295726
-0.374606593,0.927183855
-0.5,0.866025404
-0.615661475,0.788010754
-0.7193398,0.69465837
-0.809016994,0.587785252
-0.882947593,0.469471563
-0.939692621,0.342020143
-0.978147601,0.207911691
-0.99756405,0.069756474
